,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,state
0,04/27/20 01:00,Clear throughout the day.,clear-day,1587991080,1588037940,0.16,0.0005,0.0022,1587970740,0.01,rain,99.45,1588020060,62.64,1588068060,98.95,1588020060,63.13,1588068060,50.97,0.44,1013.4,4.91,13.02,1588027860,200,0.02,12,1588014540,10,289.7,63.58,1587981720,99.45,1588020060,64.07,1587981720,98.95,1588020060,Culiacán
0,04/28/20 01:00,Clear throughout the day.,clear-day,1588077420,1588124340,0.19,0.0009,0.0023,1588101300,0.01,rain,97.2,1588103580,64.16,1588154580,96.7,1588103580,64.65,1588154580,49.04,0.4,1013.2,5.2,13.04,1588114380,200,0.08,11,1588100280,10,293.1,62.64,1588068060,97.2,1588103580,63.13,1588068060,96.7,1588103580,Culiacán
0,04/29/20 01:00,Clear throughout the day.,clear-day,1588163760,1588210800,0.22,0.0009,0.0023,1588150980,0.04,rain,97.3,1588190760,66.16,1588241460,96.8,1588190760,66.64,1588241520,54.25,0.46,1011.9,5.12,15.27,1588197000,245,0.03,10,1588187160,10,323.3,64.16,1588154580,97.3,1588190760,64.65,1588154580,96.8,1588190760,Culiacán
