,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
801,Nikhil Prakash,Horsepower (FYHYM2020),2D6ltzmnxGdXOKAxESLYV6,19,0.404,0.895,2,-6.858,1,0.0545,3.9e-05,0.232,0.552,0.0732,128.028,audio_features,spotify:track:2D6ltzmnxGdXOKAxESLYV6,https://api.spotify.com/v1/tracks/2D6ltzmnxGdXOKAxESLYV6,https://api.spotify.com/v1/audio-analysis/2D6ltzmnxGdXOKAxESLYV6,89937,4
802,Taylor Swift,my tears ricochet,1MgV7FIyNxIG7WzMRJV5HC,73,0.456,0.263,0,-10.63,1,0.0332,0.806,0.0,0.0749,0.111,129.86,audio_features,spotify:track:1MgV7FIyNxIG7WzMRJV5HC,https://api.spotify.com/v1/tracks/1MgV7FIyNxIG7WzMRJV5HC,https://api.spotify.com/v1/audio-analysis/1MgV7FIyNxIG7WzMRJV5HC,255894,4
803,Eximinds,Lasers (FYHYM2020),2lpdYWPhpKw9Q5id9QyqK9,19,0.452,0.92,7,-6.546,1,0.0905,5.28e-06,0.0012,0.492,0.206,128.036,audio_features,spotify:track:2lpdYWPhpKw9Q5id9QyqK9,https://api.spotify.com/v1/tracks/2lpdYWPhpKw9Q5id9QyqK9,https://api.spotify.com/v1/audio-analysis/2lpdYWPhpKw9Q5id9QyqK9,74531,4
804,Troye Sivan,Easy (with Kacey Musgraves feat. Mark Ronson),4XWaUb7mKRcJR5RPp4IIDr,75,0.581,0.674,8,-7.09,1,0.033,0.00187,3.01e-06,0.128,0.488,143.005,audio_features,spotify:track:4XWaUb7mKRcJR5RPp4IIDr,https://api.spotify.com/v1/tracks/4XWaUb7mKRcJR5RPp4IIDr,https://api.spotify.com/v1/audio-analysis/4XWaUb7mKRcJR5RPp4IIDr,213572,4
805,Rub!k,Moonwave (FYHYM2020),3DWsV9ifIbPV0UP0n8dzlV,18,0.38,0.985,2,-6.224,1,0.119,3.35e-05,0.93,0.166,0.192,131.386,audio_features,spotify:track:3DWsV9ifIbPV0UP0n8dzlV,https://api.spotify.com/v1/tracks/3DWsV9ifIbPV0UP0n8dzlV,https://api.spotify.com/v1/audio-analysis/3DWsV9ifIbPV0UP0n8dzlV,76750,4
806,XXXTENTACION,Riot,4aOOExMBUyxKnEYb39SrTg,73,0.509,0.542,3,-8.027,0,0.442,0.019,0.00639,0.23,0.151,97.767,audio_features,spotify:track:4aOOExMBUyxKnEYb39SrTg,https://api.spotify.com/v1/tracks/4aOOExMBUyxKnEYb39SrTg,https://api.spotify.com/v1/audio-analysis/4aOOExMBUyxKnEYb39SrTg,78681,4
807,Eximinds,Phantom (FYHYM2020),0eyuS8KtxqCim3w53bJ8KC,19,0.431,0.898,9,-6.094,0,0.161,7.88e-05,0.097,0.543,0.252,128.055,audio_features,spotify:track:0eyuS8KtxqCim3w53bJ8KC,https://api.spotify.com/v1/tracks/0eyuS8KtxqCim3w53bJ8KC,https://api.spotify.com/v1/audio-analysis/0eyuS8KtxqCim3w53bJ8KC,45375,4
808,NLE Choppa,Moonlight (feat. Big Sean),1QOxaQ0QruusmKZk5G3sot,72,0.681,0.791,1,-6.292,0,0.131,0.62,1.97e-06,0.106,0.755,147.961,audio_features,spotify:track:1QOxaQ0QruusmKZk5G3sot,https://api.spotify.com/v1/tracks/1QOxaQ0QruusmKZk5G3sot,https://api.spotify.com/v1/audio-analysis/1QOxaQ0QruusmKZk5G3sot,210057,4
809,Elysian,Moonchild (FYHYM2020),5wTvShPV1tcZLFOzACsb8I,18,0.486,0.958,2,-5.947,1,0.0445,0.000654,0.837,0.547,0.292,128.025,audio_features,spotify:track:5wTvShPV1tcZLFOzACsb8I,https://api.spotify.com/v1/tracks/5wTvShPV1tcZLFOzACsb8I,https://api.spotify.com/v1/audio-analysis/5wTvShPV1tcZLFOzACsb8I,105062,4
810,Camilo,Vida de Rico,73nAK3HgQK8dak83Y2WQ8F,88,0.824,0.457,6,-5.428,1,0.0543,0.167,0.0,0.041,0.95,87.977,audio_features,spotify:track:73nAK3HgQK8dak83Y2WQ8F,https://api.spotify.com/v1/tracks/73nAK3HgQK8dak83Y2WQ8F,https://api.spotify.com/v1/audio-analysis/73nAK3HgQK8dak83Y2WQ8F,187427,4
811,Luke Bond,Satellites (FYHYM2020),4kan4qnlyMwbvyAaY8808j,18,0.427,0.837,1,-5.455,0,0.0551,0.00798,0.0,0.357,0.22,131.168,audio_features,spotify:track:4kan4qnlyMwbvyAaY8808j,https://api.spotify.com/v1/tracks/4kan4qnlyMwbvyAaY8808j,https://api.spotify.com/v1/audio-analysis/4kan4qnlyMwbvyAaY8808j,102500,4
812,Royal & the Serpent,Overwhelmed,5jjZikDrEd0by1o7V3fO4y,75,0.804,0.323,0,-11.127,0,0.305,0.308,0.0,0.15,0.456,87.019,audio_features,spotify:track:5jjZikDrEd0by1o7V3fO4y,https://api.spotify.com/v1/tracks/5jjZikDrEd0by1o7V3fO4y,https://api.spotify.com/v1/audio-analysis/5jjZikDrEd0by1o7V3fO4y,159293,4
813,Taylor Torrence,If We Say Goodbye,6evuFziA2MjVfWwavmHdZu,25,0.598,0.803,11,-5.951,0,0.0482,0.027,0.00014,0.067,0.0911,127.961,audio_features,spotify:track:6evuFziA2MjVfWwavmHdZu,https://api.spotify.com/v1/tracks/6evuFziA2MjVfWwavmHdZu,https://api.spotify.com/v1/audio-analysis/6evuFziA2MjVfWwavmHdZu,238997,4
814,Playboi Carti,M3tamorphosis (feat. Kid Cudi),7zLMYtNJcabv4h4wBnjNQI,72,0.657,0.604,0,-6.045,1,0.0374,0.0213,0.0,0.156,0.122,73.933,audio_features,spotify:track:7zLMYtNJcabv4h4wBnjNQI,https://api.spotify.com/v1/tracks/7zLMYtNJcabv4h4wBnjNQI,https://api.spotify.com/v1/audio-analysis/7zLMYtNJcabv4h4wBnjNQI,312257,4
815,MaRLo,Say Hello,4XoyRcPQcCnL28jXZDNzXc,26,0.577,0.628,2,-7.154,1,0.0352,0.0761,1.81e-05,0.135,0.301,127.934,audio_features,spotify:track:4XoyRcPQcCnL28jXZDNzXc,https://api.spotify.com/v1/tracks/4XoyRcPQcCnL28jXZDNzXc,https://api.spotify.com/v1/audio-analysis/4XoyRcPQcCnL28jXZDNzXc,172578,4
816,Niall Horan,Black And White,7rpNuuoMbid56XkDsx2FjE,77,0.443,0.582,2,-6.02,1,0.0482,0.0301,0.0,0.127,0.239,147.589,audio_features,spotify:track:7rpNuuoMbid56XkDsx2FjE,https://api.spotify.com/v1/tracks/7rpNuuoMbid56XkDsx2FjE,https://api.spotify.com/v1/audio-analysis/7rpNuuoMbid56XkDsx2FjE,193090,4
817,ReOrder,After Tomorrow,5W0D7bSzC4bsiy4z00SR1D,25,0.618,0.816,1,-6.333,0,0.042,0.000696,0.665,0.336,0.079,130.029,audio_features,spotify:track:5W0D7bSzC4bsiy4z00SR1D,https://api.spotify.com/v1/tracks/5W0D7bSzC4bsiy4z00SR1D,https://api.spotify.com/v1/audio-analysis/5W0D7bSzC4bsiy4z00SR1D,214321,4
818,Rod Wave,Girl Of My Dreams,65QRS8iMQ1TsQ93fPZIZ4i,69,0.586,0.547,4,-7.383,0,0.095,0.502,0.0,0.0963,0.35,75.911,audio_features,spotify:track:65QRS8iMQ1TsQ93fPZIZ4i,https://api.spotify.com/v1/tracks/65QRS8iMQ1TsQ93fPZIZ4i,https://api.spotify.com/v1/audio-analysis/65QRS8iMQ1TsQ93fPZIZ4i,159817,4
